"gun","value"
"2000-03",3634516
"2000-05",3388016
"2000-07",3683338
"2000-09",4464631
"2000-11",3637225
"2001-01",3570388
"2001-03",3894666
"2001-05",3553097
"2001-07",4423752
"2001-09",4090697
"2001-11",3507181
"2002-01",3619739
"2002-03",3154045
"2002-05",2965398
"2002-07",3836305
"2002-09",3864375
"2002-11",3552891
"2003-01",3650636
"2003-03",3345506
"2003-05",3448345
"2003-07",4352398
"2003-09",3855792
"2003-11",3467620
"2004-01",2388353
"2004-03",3016861
"2004-05",3329389
"2004-07",2921987
"2004-09",3678707
"2004-11",4093673
"2005-01",3403723
"2005-03",6196708
"2005-05",5455729
"2005-07",6206661
"2005-09",6093581
"2005-11",5649593
"2006-01",4698355
"2006-03",6129041
"2006-05",5880700
"2006-07",8319332
"2006-09",8030820
"2006-11",6976531
"2007-01",6790629
"2008-05",4880640
"2008-07",5352013
"2008-09",5662833
"2009-01",5355706
"2009-03",48506
"2009-05",4770218
"2009-07",5280950
"2009-09",5268659
"2009-11",58309
"2010-01",7197100
"2010-03",4222777
"2010-05",5555670
"2010-07",5678606
"2010-09",6261806
"2010-11",4789708
"2011-01",5289846
"2011-03",4533388
"2011-05",4296506
"2011-07",5270469
"2011-09",5709655
"2011-11",6226272
"2012-01",6514725
"2012-03",4248526
"2012-05",4312799
"2012-07",5409724
"2012-09",5722033
"2012-11",6123400
"2013-01",6803202
"2013-03",5915543
"2013-05",6225001
"2013-07",6427317
"2013-09",5815797
"2013-11",7374009
"2014-01",7229882
"2014-03",5099645
"2014-05",5131916
"2014-07",7094265
"2014-09",7185175
"2014-11",9767313
"2015-01",9993396
"2015-03",5478035
"2015-05",10403629
"2015-07",10398706
"2015-09",14586705
"2015-11",14856218
"2016-01",10216383
"2016-03",9932549
"2016-05",10066034
"2016-07",16380824
"2016-09",16494086
"2016-11",14717767
"2017-01",9728490
"2017-03",8696869
"2017-05",8740862
"2017-07",14529472
"2017-09",15436973
"2017-11",13456508
"2018-01",8752002
"2018-03",8945287
"2018-05",9182434
"2018-07",15127500
"2018-09",14956271
"2018-11",13509979
"2019-01",9465170
"2019-03",9548134
"2019-05",9232593
"2019-07",16503459
"2019-09",15787340
"2019-11",13986230
"2020-01",9807631
"2020-03",9709086
"2020-05",10085750
"2020-07",26939335
"2020-09",5381662
"2020-11",15252939
"2021-01",9569042
"2021-03",4986209
"2021-05",3978206
"2021-07",6375292
"2021-09",5820103
"2021-11",6169972
"2022-01",7052126
"2022-03",7052120
"2022-05",7052100
"2022-07",7052140
"2022-09",7052500
