gun,value
1032000,3634516
1052000,3388016
1072000,3683338
1092000,4464631
1112000,3637225
1012001,3570388
1032001,3894666
1052001,3553097
1072001,4423752
1092001,4090697
1112001,3507181
1012002,3619739
1032002,3154045
1052002,2965398
1072002,3836305
1092002,3864375
1112002,3552891
1012003,3650636
1032003,3345506
1052003,3448345
1072003,4352398
1092003,3855792
1112003,3467620
1012004,2388353
1032004,3016861
1052004,3329389
1072004,2921987
1092004,3678707
1112004,4093673
1012005,3403723
1032005,6196708
1052005,5455729
1072005,6206661
1092005,6093581
1112005,5649593
1012006,4698355
1032006,6129041
1052006,5880700
1072006,8319332
1092006,8030820
1112006,6976531
1012007,6790629
1052008,4880640
1072008,5352013
1092008,5662833
1012009,5355706
1032009,48506
1052009,4770218
1072009,5280950
1092009,5268659
1112009,58309
1012010,7197100
1032010,4222777
1052010,5555670
1072010,5678606
1092010,6261806
1112010,4789708
1012011,5289846
1032011,4533388
1052011,4296506
1072011,5270469
1092011,5709655
1112011,6226272
1012012,6514725
1032012,4248526
1052012,4312799
1072012,5409724
1092012,5722033
1112012,6123400
1012013,6803202
1032013,5915543
1052013,6225001
1072013,6427317
1092013,5815797
1112013,7374009
1012014,7229882
1032014,5099645
1052014,5131916
1072014,7094265
1092014,7185175
1112014,9767313
1012015,9993396
1032015,5478035
1052015,10403629
1072015,10398706
1092015,14586705
1112015,14856218
1012016,10216383
1032016,9932549
1052016,10066034
1072016,16380824
1092016,16494086
1112016,14717767
1012017,9728490
1032017,8696869
1052017,8740862
1072017,14529472
1092017,15436973
1112017,13456508
1012018,8752002
1032018,8945287
1052018,9182434
1072018,15127500
1092018,14956271
1112018,13509979
1012019,9465170
1032019,9548134
1052019,9232593
1072019,16503459
1092019,15787340
1112019,13986230
1012020,9807631
1032020,9709086
1052020,10085750
1072020,26939335
1092020,5381662
1112020,15252939
1012021,9569042
1032021,4986209
1052021,3978206
1072021,6375292
1092021,5820103
1112021,6169972
1012022,7052126
